invoice_date,invoice_no,account_code,sku,cartons,litres,rate_per_carton,sales_amount
2022-04-01,GA/2022-23/00001,ACC-112,MSG-1L-15,1,15,8100,8100
2022-04-01,GA/2022-23/00002,ACC-127,MSG-1L-15,2,30,8100,16200
2022-04-01,GA/2022-23/00003,ACC-131,MSG-500-30,2,30,8250,16500
2022-04-02,GA/2022-23/00004,ACC-042,MSG-200-75,2,30,8400,16800
2022-04-04,GA/2022-23/00005,ACC-018,MSG-1L-15,1,15,8100,8100
2022-04-05,GA/2022-23/00006,ACC-001,MSG-500-30,1,15,8250,8250
2022-04-05,GA/2022-23/00007,ACC-005,MSG-1L-15,1,15,8100,8100
2022-04-05,GA/2022-23/00007,ACC-005,MSG-500-30,1,15,8250,8250
2022-04-05,GA/2022-23/00008,ACC-093,MSG-1L-15,1,15,8100,8100
2022-04-05,GA/2022-23/00009,ACC-098,MSG-1L-15,1,15,8100,8100
2022-04-06,GA/2022-23/00010,ACC-056,MSG-500-30,1,15,8250,8250
2022-04-06,GA/2022-23/00011,ACC-062,MSG-1L-15,1,15,8100,8100
2022-04-06,GA/2022-23/00012,ACC-119,MSG-1L-15,2,30,8100,16200
2022-04-07,GA/2022-23/00013,ACC-031,MSG-1L-15,1,15,8100,8100
2022-04-07,GA/2022-23/00014,ACC-061,MSG-1L-15,1,15,8100,8100
2022-04-08,GA/2022-23/00015,ACC-114,MSG-200-75,1,15,8400,8400
2022-04-09,GA/2022-23/00016,ACC-010,MSG-200-75,1,15,8400,8400
2022-04-09,GA/2022-23/00016,ACC-010,MSG-500-30,1,15,8250,8250
2022-04-09,GA/2022-23/00017,ACC-021,MSG-1L-15,1,15,8100,8100
2022-04-09,GA/2022-23/00018,ACC-074,MSG-200-75,1,15,8400,8400
2022-04-11,GA/2022-23/00019,ACC-002,MSG-1L-15,3,45,8100,24300
2022-04-11,GA/2022-23/00020,ACC-008,MSG-1L-15,3,45,8100,24300
2022-04-11,GA/2022-23/00021,ACC-023,MSG-1L-15,1,15,8100,8100
2022-04-11,GA/2022-23/00021,ACC-023,MSG-500-30,1,15,8250,8250
2022-04-11,GA/2022-23/00022,ACC-066,MSG-1L-15,1,15,8100,8100
2022-04-11,GA/2022-23/00023,ACC-073,MSG-1L-15,1,15,8100,8100
2022-04-11,GA/2022-23/00023,ACC-073,MSG-200-75,1,15,8400,8400
2022-04-11,GA/2022-23/00024,ACC-118,MSG-1L-15,1,15,8100,8100
2022-04-12,GA/2022-23/00025,ACC-007,MSG-1L-15,2,30,8100,16200
2022-04-12,GA/2022-23/00026,ACC-014,MSG-1L-15,2,30,8100,16200
2022-04-12,GA/2022-23/00027,ACC-106,MSG-1L-15,2,30,8100,16200
2022-04-12,GA/2022-23/00028,ACC-108,MSG-500-30,1,15,8250,8250
2022-04-12,GA/2022-23/00029,ACC-110,MSG-1L-15,1,15,8100,8100
2022-04-12,GA/2022-23/00030,ACC-139,MSG-500-30,1,15,8250,8250
2022-04-13,GA/2022-23/00031,ACC-027,MSG-1L-15,1,15,8100,8100
2022-04-14,GA/2022-23/00032,ACC-030,MSG-1L-15,1,15,8100,8100
2022-04-14,GA/2022-23/00032,ACC-030,MSG-200-75,1,15,8400,8400
2022-04-14,GA/2022-23/00033,ACC-082,MSG-500-30,1,15,8250,8250
2022-04-15,GA/2022-23/00034,ACC-006,MSG-1L-15,2,30,8100,16200
2022-04-15,GA/2022-23/00035,ACC-032,MSG-500-30,1,15,8250,8250
2022-04-15,GA/2022-23/00036,ACC-081,MSG-1L-15,1,15,8100,8100
2022-04-15,GA/2022-23/00037,ACC-142,MSG-1L-15,1,15,8100,8100
2022-04-16,GA/2022-23/00038,ACC-058,MSG-500-30,1,15,8250,8250
2022-04-18,GA/2022-23/00039,ACC-045,MSG-1L-15,1,15,8100,8100
2022-04-18,GA/2022-23/00039,ACC-045,MSG-500-30,1,15,8250,8250
2022-04-18,GA/2022-23/00040,ACC-048,MSG-500-30,1,15,8250,8250
2022-04-18,GA/2022-23/00041,ACC-054,MSG-1L-15,1,15,8100,8100
2022-04-18,GA/2022-23/00042,ACC-063,MSG-1L-15,1,15,8100,8100
2022-04-18,GA/2022-23/00043,ACC-125,MSG-200-75,1,15,8400,8400
2022-04-19,GA/2022-23/00044,ACC-015,MSG-1L-15,1,15,8100,8100
2022-04-19,GA/2022-23/00045,ACC-065,MSG-1L-15,1,15,8100,8100
