invoice_date,invoice_no,fy,month_no,account_code,account_name,city,salesman_code,salesman_name,sku,product_name,pack_size,cartons,litres,rate_per_carton,sales_amount
2022-04-01,GA/2022-23/00001,FY2022-23,4,ACC-112,Om Goyal Kirana Store,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-01,GA/2022-23/00002,FY2022-23,4,ACC-127,Ganesh Mishra Marketing,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-01,GA/2022-23/00003,FY2022-23,4,ACC-131,Jai Yadav Traders,Shamli,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8250,16500
2022-04-02,GA/2022-23/00004,FY2022-23,4,ACC-042,Maa Sachdeva Agencies,Charthawal,SM03,Amit Saini,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,2,30,8400,16800
2022-04-04,GA/2022-23/00005,FY2022-23,4,ACC-018,Krishna Sharma Enterprises,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-05,GA/2022-23/00006,FY2022-23,4,ACC-001,Om Dubey Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-05,GA/2022-23/00007,FY2022-23,4,ACC-005,Malhotra Dairy,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-05,GA/2022-23/00007,FY2022-23,4,ACC-005,Malhotra Dairy,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-05,GA/2022-23/00008,FY2022-23,4,ACC-093,Maa Malik & Company,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-05,GA/2022-23/00009,FY2022-23,4,ACC-098,Balaji Rana Distributors,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-06,GA/2022-23/00010,FY2022-23,4,ACC-056,Bajaj Provisions,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-06,GA/2022-23/00011,FY2022-23,4,ACC-062,Dubey General Store,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-06,GA/2022-23/00012,FY2022-23,4,ACC-119,Solanki Dairy,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-07,GA/2022-23/00013,FY2022-23,4,ACC-031,Laxmi Sirohi Super Market,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-07,GA/2022-23/00014,FY2022-23,4,ACC-061,Jai Srivastava General Store,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-08,GA/2022-23/00015,FY2022-23,4,ACC-114,Sirohi Marketing,Muzaffarnagar,SM01,Rakesh Kumar,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-09,GA/2022-23/00016,FY2022-23,4,ACC-010,Shree Mishra Provisions,Muzaffarnagar,SM01,Rakesh Kumar,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-09,GA/2022-23/00016,FY2022-23,4,ACC-010,Shree Mishra Provisions,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-09,GA/2022-23/00017,FY2022-23,4,ACC-021,Shri Tandon Stores,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-09,GA/2022-23/00018,FY2022-23,4,ACC-074,Jai Bajaj Stores,Khatauli,SM02,Sunil Tyagi,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-11,GA/2022-23/00019,FY2022-23,4,ACC-002,New Dubey Marketing,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,3,45,8100,24300
2022-04-11,GA/2022-23/00020,FY2022-23,4,ACC-008,Shree Maheshwari Enterprises,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,3,45,8100,24300
2022-04-11,GA/2022-23/00021,FY2022-23,4,ACC-023,Agarwal Distributors,Jansath,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-11,GA/2022-23/00021,FY2022-23,4,ACC-023,Agarwal Distributors,Jansath,SM03,Amit Saini,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-11,GA/2022-23/00022,FY2022-23,4,ACC-066,Dhingra Marketing,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-11,GA/2022-23/00023,FY2022-23,4,ACC-073,Maa Gupta Dairy,Jansath,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-11,GA/2022-23/00023,FY2022-23,4,ACC-073,Maa Gupta Dairy,Jansath,SM03,Amit Saini,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-11,GA/2022-23/00024,FY2022-23,4,ACC-118,Laxmi Rana & Sons,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-12,GA/2022-23/00025,FY2022-23,4,ACC-007,Om Pandey Distributors,Purqazi,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-12,GA/2022-23/00026,FY2022-23,4,ACC-014,Maa Chopra Kirana Store,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-12,GA/2022-23/00027,FY2022-23,4,ACC-106,Shree Ahuja & Company,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-12,GA/2022-23/00028,FY2022-23,4,ACC-108,New Ahuja Distributors,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-12,GA/2022-23/00029,FY2022-23,4,ACC-110,Laxmi Kansal & Sons,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-12,GA/2022-23/00030,FY2022-23,4,ACC-139,Goel Trading Co.,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
